song_number;label;title;film;year;artist;spotify_url;enabled
33;Song 033;What Else Can I Do?;Encanto;2021;Diane Guerrero, Stephanie Beatriz;https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG;TRUE
34;Song 034;Waiting on a Miracle;Encanto;2021;Stephanie Beatriz;https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt;TRUE
35;Song 035;All of You;Encanto;2021;Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma, Encanto Cast;https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2;TRUE
36;Song 036;Remember Me;Coco;2017;Benjamin Bratt;https://open.spotify.com/track/6gF8tPWPRoPt2j4SZWOUXC;TRUE
37;Song 037;Un Poco Loco;Coco;2017;Anthony Gonzalez, Gael García Bernal;https://open.spotify.com/track/0inaxid9CcJYsu9CdF0s4m;TRUE
38;Song 038;The World Es Mi Familia;Coco;2017;Anthony Gonzalez, Antonio Sol;https://open.spotify.com/track/0TbQ1pDJpSEfRn6pa791Ls;TRUE
39;Song 039;Proud Corazón;Coco;2017;Anthony Gonzalez;https://open.spotify.com/track/4xUzgBNEzJCVerZZLwRRSH;TRUE
40;Song 040;You've Got a Friend in Me;Toy Story;1995;Randy Newman;https://open.spotify.com/track/1i2JdlGZCs1svvMedNHQfZ;TRUE
41;Song 041;When She Loved Me;Toy Story 2;1999;Sarah McLachlan;https://open.spotify.com/track/0ppN8ns8UX79H14RyUatRc;TRUE
42;Song 042;We Belong Together;Toy Story 3;2010;Randy Newman;https://open.spotify.com/track/2m1mYan1nvOMORlb12q2Y9;TRUE
43;Song 043;I See the Light;Tangled;2010;Mandy Moore, Zachary Levi;https://open.spotify.com/track/6klpXs2uAjagnZMFkt4qkl;TRUE
44;Song 044;When Will My Life Begin?;Tangled;2010;Mandy Moore;https://open.spotify.com/track/03xWMkKEbeO4SnylA53ipj;TRUE
45;Song 045;Mother Knows Best;Tangled;2010;Donna Murphy;https://open.spotify.com/track/1lOSxJNCLvWm2bYaTcTSmK;TRUE
46;Song 046;I've Got a Dream;Tangled;2010;Mandy Moore, Brad Garrett, Ensemble - Tangled, Zachary Levi, Jeffrey Tambor;https://open.spotify.com/track/0TCt7OFRdD8PQ6vTRQxNgQ;TRUE
47;Song 047;Be Our Guest;Beauty and the Beast;1991;Angela Lansbury, Jerry Orbach, Chorus - Beauty and the Beast;https://open.spotify.com/track/0hWTIrbmyuAGwQYXGQOVH0;TRUE
48;Song 048;Beauty and the Beast;Beauty and the Beast;1991;Angela Lansbury;https://open.spotify.com/track/2xS0Aybg4e8cQ8xiv3DeoH;TRUE
49;Song 049;Belle;Beauty and the Beast;1991;Richard White, Paige O'Hara, Chorus - Beauty and the Beast;https://open.spotify.com/track/4FrfQdZaZnudSHPwgliazB;TRUE
50;Song 050;Gaston;Beauty and the Beast;1991;Richard White, Jesse Corti, Chorus - Beauty and the Beast;https://open.spotify.com/track/64lQ4g5QiFNDC7gTUCe3DY;TRUE
51;Song 051;Something There;Beauty and the Beast;1991;Robby Benson, Jerry Orbach, Paige O'Hara, Angela Lansbury, David Ogden Stiers;https://open.spotify.com/track/5S3vVcKLO8p5TH58448T48;TRUE
52;Song 052;I'll Make a Man Out of You;Mulan;1998;Donny Osmond & Chorus - Mulan;https://open.spotify.com/track/40lNlmrek40tfBOiQzf6qK;TRUE
53;Song 053;Reflection;Mulan;1998;Lea Salonga;https://open.spotify.com/track/2AILbz83cBnrAMAG06rZts;TRUE
54;Song 054;Honor to Us All;Mulan;1998;Lea Salonga, Beth Fowler, Marni Nixon & Chorus - Mulan;https://open.spotify.com/track/78EMhiyAcalWWtnpk20Eoo;TRUE
55;Song 055;A Girl Worth Fighting For;Mulan;1998;Lea Salonga, Harvey Fierstein, Matthew Wilder, James Hong, Jerry Tondo;https://open.spotify.com/track/3wjgPeXocinhLyPL37p70e;TRUE
56;Song 056;Go the Distance;Hercules;1997;Roger Bart;https://open.spotify.com/track/0D1OY0M5A0qD5HGBvFmFid;TRUE
57;Song 057;Zero to Hero;Hercules;1997;Chorus - Hercules, Lillias White, Cheryl Freeman, LaChanze, Roz Ryan, Vaneese Thomas, Tawatha Agee;https://open.spotify.com/track/4zDfgax6Ihb0UWdour1ZEs;TRUE
